count	volume	first_ref	form	gloss	proposed_root	rule	root_meaning
2	NT	NT 1co 7:39	מֻתֶּרֶת	at-liberty-is	נתר	I-nun (dagesh)	(הִתִּיר) to loose, unloose — Ps 146:7 מַתִּ
2	NT/D&C	NT 1co 9:18	הִשְׁתַּמֵּשׁ	I-use	מוש	hollow	(מוּשׁ) to depart; to feel
2	NT	NT 1co 10:22	לְהַקְנִיא	to-provoke-to-jealousy	קנא	strong	jealous God
2	NT	NT 1co 11:19	שֶׁבָּכֶם	among-you	כומ	hollow	
2	NT	NT 1co 11:20	סְעוּדָתוֹ	the-supper	סעד	strong	support
2	NT	NT 1co 11:21	בְּשַׁעַת	at-the-time-of	שוע	hollow	(שַׁוְעָה) cry for help
2	NT	NT 1co 12:22	אֲנוּ	we	אנו	strong	we
2	NT	NT 1co 12:31	הִשְׁתַּדְּלוּ	covet-earnestly	דלה	lamed-yod / III-he	dangle
2	NT	NT 1co 14:11	כְלֹעֵז	a-barbarian	לעז	strong	foreign tongue
2	NT	NT 1co 14:22	לִמְחֻסְּרֵי	to-them-that-lack	חסר	strong	want of
2	NT	NT 1co 14:23	הֶדְיוֹטוֹת	those-unlearned		(no analysis)	
2	NT	NT 1co 15:27	הוּשַׁת	are-put	נוש	I-nun (dagesh)	be sick
2	NT	NT 1jn 1:6	וְנִתְהַלֵּךְ	and-walk	תהה	heuristic	
2	NT	NT 1jn 2:13	הִכַּרְתֶּם	you-have-known	רתמ	strong	yoke up
2	NT	NT 1pe 1:23	בַּמַּאֲמָר	by-the-word	אמר	strong	(אָמַר) to say, speak; (לֵאמֹר) saying; (אֵמ
2	NT	NT 1pe 2:11	אַזְהִירְכֶם	I-beseech-you	זהר	heuristic	(הִזְהִיר) to warn, admonish, exhort; (זֹהַר
2	NT	NT 1pe 2:20	וּסְבַלְתֶּם	and-you-endure	סבל	heuristic	(סָבַל) to bear, suffer; (סַבְלָן) patient
2	NT	NT 1th 3:10	וּלְהַשְׁלִים	and-might-perfect	שלמ	strong	make
2	NT	NT 1th 5:1	וְהַזְּמַנִּים	and-the-seasons	נזמ	heuristic	nose-ring
2	NT	NT 1ti 1:15	לְהִתְקַבֵּל	acceptation	קבל	strong	(קִבֵּל) to receive, accept
2	NT	NT 1ti 3:5	לְהַשְׁגִּיחַ	take-care-of	שגח	strong	(הִשְׁגִּיחַ) to watch over
2	NT	NT 1ti 3:6	הַמַּשְׂטִין	the-accuser	שטנ	strong	attack
2	NT	NT 1ti 3:10	יְשַׁמְּשׁוּ	let-them-use-the-office	שמש	strong	(שֶׁמֶשׁ) sun; (שִׁמֵּשׁ) to serve, be used;
2	NT	NT 2co 1:5	נֶחָמָתֵנוּ	our-consolation	חמת	strong	wrath of
2	NT	NT 2co 2:16	לְכָךְ	for-these-things	אלכ	heuristic	these
2	NT	NT 2co 6:5	בִּשְׁקִידוֹת	in-watchings	שקד	strong	(שָׁקַד) to watch; (שָׁקֵד) almond
2	NT	NT 2co 9:6	בְּצִמְצוּם	sparingly		(no analysis)	
2	NT/D&C	NT 2co 11:4	וְיַכְרִיז	preacheth	כרז	heuristic	(הִכְרִיז) to proclaim
2	NT	NT 2co 12:17	הוֹנֵיתִי	I-make-a-gain-of	הנה	lamed-yod (yod hides the he)	(הִנֵּה) behold, here, look; (הֵנָּה) these,
2	NT	NT 2co 13:5	שֶׁיֵּשׁוּעַ	that-Jesus	שוע	hollow (mater)	(שַׁוְעָה) cry for help
2	NT	NT 2pe 3:7	שְׁמוּרִים	are-reserved	רומ	hollow	be high
2	NT	NT 2th 1:4	שֶׁנִּתְהַלֵּל	that-we-glory	הלל	heuristic	(הָלַל) to praise, boast; (תְּהִלָּה) praise
2	NT	NT 2th 1:4	סְבַלְתֶּם	you-endure	סבל	heuristic	(סָבַל) to bear, suffer; (סַבְלָן) patient
2	NT	NT 2ti 3:3	וּמַלְשִׁינִים	false-accusers	לשנ	heuristic	wag the tongue
2	NT/D&C	NT 2ti 3:16	וּלְיַשֵּׁר	for-correction	נשר	I-nun (dagesh)	eagle
2	NT	NT acts 2:36	צְלַבְתֶּם	you have crucified,	צלב	heuristic	(צְלָב) cross; (צָלַב) to crucify
2	NT	NT acts 2:40	וַיַּזְהִירֵם	and warned them,	זהר	heuristic	(הִזְהִיר) to warn, admonish, exhort; (זֹהַר
2	NT/D&C	NT acts 4:15	מִסַּנְהֶדְרִין	of the council,		(no analysis)	
2	NT	NT acts 8:11	בִּכְשָׁפָיו	with-sorceries	שפה	lamed-yod (yod hides the he)	(מִשְׁפָּחָה) clan, family; lip, edge
2	NT	NT acts 9:25	וַיּוֹרִידֻהוּ	and-let-him-down	ירד	I-yod (vav for yod)	to go down, descend
2	NT	NT acts 10:14	כׇּל־פִּגּוּל	any-thing-that-is-common	פגל	strong	
2	NT	NT acts 13:15	קְרִיאַת	the-reading-of	קרא	strong	(קָרָא) to call, proclaim, read; (מִקְרָא) c
2	NT	NT acts 13:50	וַיְעוֹרֲרוּ	and-raised	ערר	strong	(מְעָרָה) cave; (עֲרִירִי) childless
2	NT	NT acts 17:28	וְקַיָּמִים	and-have-our-being;	קומ	heuristic	rise
2	NT	NT acts 19:8	כִּשְׁלשָׁה	for-the-space-of-three	שלש	strong	(שָׁלֹשׁ) three; (שְׁלֹשִׁים) thirty
2	NT/PGP	NT acts 19:10	כִּשְׁנָתַיִם	by-the-space-of-two-years	שנה	heuristic	year; to change
2	NT	NT acts 19:29	אֶל־הַתֵּאַטְרוֹן	into-the-theater,	אלה	lamed-yod / III-he	(אֵלֶּה) these; (אָלָה) oath, curse
2	NT	NT acts 20:16	הִצְטָרֵךְ	need		(no analysis)	
2	NT	NT acts 22:22	שֶׁיִּחְיֶה	that-he-should-live.	שחה	lamed-yod (yod hides the he)	to bow down, prostrate, worship
2	NT	NT acts 23:30	מִתְנַכְּלִים	laid-wait	כלל	heuristic	(כֹּל) all, every, whole; (כָּלִיל) wholly
2	NT	NT acts 23:30	שִׂטְנָתָם	what-they-had-against-him	שטנ	heuristic	attack
2	NT	NT acts 24:10	מִצְטַדֵּק	answer-for-myself		(no analysis)	
2	NT	NT acts 26:30	וְהַהֶגְמוֹן	and-the-governor,	הגה	heuristic	(הָגָה) to utter, ponder, meditate
2	NT	NT acts 27:29	עוֹגִינִים	anchors	עוג	heuristic	bake
2	NT	NT col 1:9	רוּחָנִית	spiritual(f)	רוח	heuristic	spirit, wind, breath
2	NT/PGP	NT col 4:3	הַדִּבּוּר	utterance	דבר	strong	(דִּבֶּר) to speak; (דָּבָר) word, thing; (ד
2	NT	NT eph 1:16	בְּהַזְכִּירִי	in-my-remembering	זכר	strong	to remember; male
2	NT	NT eph 4:29	נִבּוּל	corrupt-speech	נבל	strong	to wither, fall; to be foolish; corpse
2	NT	NT gal 2:17	לְהִצָּדֵק	to-be-justified	צדק	strong	righteous, just; righteousness, justice
2	NT/D&C	NT gal 2:20	נִצְלַבְתִּי	was-crucified(I)	צלב	strong	(צְלָב) cross; (צָלַב) to crucify
2	NT/D&C	NT gal 4:2	הַמְיֻעָד	the-appointed	מעד	strong	waver
2	NT	NT gal 5:4	הַמִּצְטַדְּקִים	the-self-justifying		(no analysis)	
2	NT	NT heb 3:6	שֶׁנַּחֲזִיק	that-we-shall-hold-fast	חזק	strong	(חָזָק) strong, mighty; to strengthen; (הֶחֱ
2	NT	NT heb 4:14	בְּהוֹדָאַת	the-profession-of	ידא	I-yod (vav for yod)	praise
2	NT/D&C	NT heb 6:6	חָזְרוּ	they-crucify	חזר	strong	(חָזַר) to return, repeat; (הֶחֱזִיר) to res
2	NT	NT heb 9:23	שֶׁיִּטָּהֲרוּ	be-purified	טהר	strong	to be pure, clean; purity, purification
2	NT	NT john 5:5	שְׁלשִׁים	thirty	שומ	hollow (mater)	put
2	NT	NT john 7:16	לֹא־שֶׁלִּי	is not mine,	שלה	lamed-yod (yod hides the he)	dominion
2	NT	NT john 7:31	הֲַגַם	will he indeed	גממ	geminate	
2	NT	NT john 7:34	תִמְצָאֻנְנִי	shall not find me:	מצא	heuristic	to find, discover, attain
2	NT	NT john 8:6	וַיִּתְכּוֹפֵף	But stooped down,		(no analysis)	
2	NT	NT john 9:6	וַיִּמְרַח	and he anointed	מרח	strong	soften
2	NT	NT john 11:2	בְּשַׂעֲרוֹתֶיהָ	with her hair,	ערה	lamed-yod (vav form)	to be naked, uncover; nakedness
2	NT	NT john 13:17	בַּעֲשֹׁוֹתְכֶם	if you do	עשה	heuristic	(עָשָׂה) to do, make; (מַעֲשֶׂה) work, deed
2	NT	NT john 18:32	לִרְמֹז	signifying	רמז	strong	
2	NT	NT john 19:19	עַל־הַצְּלוּב	on the cross.	עלה	lamed-yod / III-he	(עָלָה) to go up, ascend; (עֹלָה) burnt offe
2	NT	NT john 19:32	הַנִּצְלָבִים	which was crucified		(no analysis)	
2	NT	NT john 20:5	אֶת־הַתַּכְרִיכִין	the linen clothes	כרכ	heuristic	
2	NT	NT luke 5:36	מַטְלִית	a patch	טלה	lamed-yod (yod hides the he)	lamb
2	NT	NT luke 7:32	רִקַּדְתֶּם	dance;	רקד	heuristic	stamp
2	NT	NT luke 8:7	וַיְמָעֲכֻהוּ	and choked it.	מעכ	strong	press
2	NT	NT luke 8:33	בַּחֲזִירִים	into the swine,	חזר	heuristic	(חָזַר) to return, repeat; (הֶחֱזִיר) to res
2	NT/D&C	NT luke 10:7	הַפּוֹעֵל	the laborer	פעל	strong	work
2	NT	NT luke 10:35	דִינָרִים	pence,		(no analysis)	
2	NT	NT luke 11:17	הַנֶּחֱלָקָה	divided	חלק	strong	(חֵלֶק) part, portion; (חָלַק) to divide; (מ
2	NT	NT luke 11:32	וְהִרְשִׁיעֻהוּ	and shall condemn it:	רשע	strong	wickedness
2	NT	NT luke 11:42	אֶת־הַמִּנְתָּא	mint	תאה	lamed-yod / III-he	mark off
2	NT	NT luke 12:7	גַּם־שַׂעֲרוֹת	even the hairs of	גממ	geminate	
2	NT	NT luke 12:7	יְקַרְתֶּם	you are of more value	יקר	heuristic	precious
2	NT	NT luke 12:11	תִּצְטַדְּקוּ	or what thing		(no analysis)	
2	NT	NT luke 12:46	וִישַׁסֵּף	and will cut in sunder	שספ	strong	cut in pieces
2	NT	NT luke 12:59	אֶת־הַפְּרוּטָה	the mite.	פרט	strong	(פְּרָט) detail; (פֵּרוּט) enumeration
2	NT	NT luke 13:19	בַּעֲנָפָיו	in the branches of it.	ענפ	strong	(עָנָף) branch
2	NT	NT luke 17:6	הַחַרְדָּל	of mustard seed,		(no analysis)	
2	NT/D&C	NT luke 18:11	וְהַנֹּאֲפִים	adulterers,	נאה	heuristic	(נָאוֶה) beautiful, comely, fitting; (נָאווּ
2	NT	NT luke 20:46	טַלִּית	robes,	טלה	lamed-yod (yod hides the he)	lamb
2	NT	NT luke 21:2	פְרוּטוֹת	mites.	פרט	strong	(פְּרָט) detail; (פֵּרוּט) enumeration
2	NT	NT luke 22:64	וַיְחַפּוּ	And when they had blindfolded	יחפ	I-yod (vav for yod)	unsandalled
2	NT	NT luke 23:16	וְאַתִּירֶנּוּ	and release him.	תור	hollow (mater)	(תּוּר) to spy out, search
2	NT	NT luke 24:20	וַיִּצְלְבֻהוּ	and have crucified him.	צלב	strong	(צְלָב) cross; (צָלַב) to crucify
2	NT	NT mark 7:11	נֶהֱנֶה	you might be profited	הנה	strong	(הִנֵּה) behold, here, look; (הֵנָּה) these,
2	NT	NT mark 9:45	לְגֵיהִנֹּם	into hell,	גוה	heuristic	(גְּוִיָּה) body
2	NT	NT mark 12:24	טֹעִים	err	טעמ	strong	taste
2	NT	NT mark 13:9	לְסַנְהֶדְרִיּוֹת	to councils;		(no analysis)	
2	NT	NT mark 15:20	הִתְלוֹצֲצָם	they had mocked		(no analysis)	
2	NT	NT mark 15:21	וַיֶּאֶנְסוּ	they compel	אנס	strong	insist
2	NT	NT mark 16:13	וְגַם־לָהֶם	and them also	גממ	geminate	
2	NT	NT matt 4:25	הֲמֹנִים	great	נומ	hollow (mater)	slumber
2	NT/D&C	NT matt 5:18	יְקֻיַּם	shall be fulfilled	קומ	hollow (mater)	rise
2	NT	NT matt 5:29	מֵאֵבָרֶיךָ	of your members	ברכ	strong	kneel
2	NT	NT matt 9:11	רַבְּכֶם	your Master	רבב	heuristic	(רַב) many, great; (רֹב) multitude, most; ab
2	NT	NT matt 20:6	בִּשְׁעַת	at the hour of	שוע	hollow	(שַׁוְעָה) cry for help
2	NT/D&C	NT matt 23:32	סְאַת	the measure of	סאה	lamed-yod / III-he	seah
2	NT/D&C	NT matt 23:37	כַּתַּרְנְגֹלֶת	even as a hen		(no analysis)	
2	NT	NT matt 25:15	יְכׇלְתּוֹ	his several ability;	יכל	strong	(יָכֹל) to be able, can, prevail
2	NT/D&C	NT php 2:8	הַצְּלִיבָה	the-cross	צלב	strong	(צְלָב) cross; (צָלַב) to crucify
2	NT	NT rev 5:2	אֶת־חוֹתָמָיו	the-seals-thereof	חתמ	strong	seal
2	NT	NT rev 6:6	בְּדִינָר	for-a-penny		(no analysis)	
2	NT/D&C	NT rev 14:4	נִקְנוּ	were-redeemed	קנה	lamed-yod / III-he	(קָנָה) to buy, get, possess; (מִקְנֶה) catt
2	NT	NT rev 19:7	חֲתֻנַּת	the-marriage-of	חתנ	strong	give
2	NT	NT rev 20:9	הַחֲבִיבָה	beloved	חבב	strong	(חָבַב) to cherish
2	NT	NT rom 3:30	הַמַּצְדִּיק	which-shall-justify	צדק	strong	righteous, just; righteousness, justice
2	NT/PGP	NT rom 9:6	שֶׁנָּפַל	hath-failed	נפל	strong	to fall, fall down
2	NT	NT rom 9:18	שֶׁיַּחְפֹּץ	he-will	חפצ	strong	desire
2	NT	NT rom 11:18	עַל־הָעֲנָפִים	against-the-branches	עלה	lamed-yod / III-he	(עָלָה) to go up, ascend; (עֹלָה) burnt offe
2	NT/D&C	NT rom 14:15	אַחֲוָה	charity	חוה	hollow (mater)	Eve
2	NT/D&C	NT rom 16:2	תְּקַבְּלוּהָ	you-receive-her	קבל	heuristic	(קִבֵּל) to receive, accept
2	NT/PGP	NT tit 2:13	הַמְאַשֶּׁרֶת	blessed	נשר	I-nun (dagesh)	eagle
2	D&C	D&C dc101_110 1:3	אֲקַבְּלֵם	I will own them,	קבל	heuristic	(קִבֵּל) to receive, accept
2	D&C	D&C dc101_110 1:40	וּלְהִדָּרֵס	and trodden	דרס	heuristic	
2	D&C	D&C dc101_110 1:66	לְהִשָּׂרֵף	that they may be burned	שרפ	strong	be
2	D&C	D&C dc101_110 1:3	ס.	S.		(no analysis)	
2	D&C	D&C dc101_110 1:13	לָדוּן	to act	דונ	hollow (mater)	
2	D&C	D&C dc101_110 1:17	ב׳	2		(no analysis)	
2	D&C	D&C dc101_110 1:30	בַּעֲשָׂרוֹת	by tens,	עשר	strong	(עֶשֶׂר) ten; (עֶשְׂרִים) twenty; (עֹשֶׁר) r
2	D&C	D&C dc101_110 1:40	מִלּוּי	the fulfilment of	לוה	lamed-yod (yod hides the he)	lend
2	D&C	D&C dc101_110 1:41	נ.	N.		(no analysis)	
2	D&C	D&C dc101_110 1:32	הָרוּחָנִיּוֹת	spiritual		(no analysis)	
2	D&C	D&C dc101_110 1:33	כׇּל־עִנְיָנֶיהָ	all the affairs of the same	עננ	strong	act covertly
2	D&C	D&C dc101_110 1:35	בְּהַכְרָזַת	by the proclamation of	כרה	heuristic	open
2	D&C	D&C dc101_110 1:73	זוֹהִי	This is	נזה	heuristic	(הִזָּה) to sprinkle, spatter
2	D&C	D&C dc109 1:30	וְיִסָּחֲפוּ	and be swept away	סחפ	strong	scrape off
2	D&C	D&C dc109 1:56	מִשְׂטְמוֹתֵיהֶם	their prejudices	שטמ	heuristic	lurk for
2	D&C	D&C dc111_120 1:1	בַּפְּסוּקִים	in the verses		(no analysis)	
2	D&C	D&C dc111_120 1:3	בַּפָּסוּק	in the verse		(no analysis)	
2	D&C	D&C dc11_20 1:16	וּבְשׂוֹרָתִי	and my gospel	שור	hollow (mater)	ox
2	D&C	D&C dc11_20 1:9	בִּקְרִיאָתוֹ	with his calling	קרא	strong	(קָרָא) to call, proclaim, read; (מִקְרָא) c
2	D&C	D&C dc11_20 1:32	נִסְמַכְתֶּם	were ordained	סמכ	heuristic	prop
2	D&C	D&C dc11_20 1:42	וּלְהַטְבִּיל	baptize	טבל	strong	be baptized
2	D&C/PGP	D&C dc11_20 1:74	יַטְבִּיל	shall immerse	טבל	strong	be baptized
2	D&C	D&C dc121_130 1:31	וְחׇדְשֵׁיהֶם	all the appointed	חדש	heuristic	(חָדָשׁ) new; (חֹדֶשׁ) month, new moon
2	D&C	D&C dc121_130 1:2	כְּרוּז	a proclamation	רוה	heuristic	slake
2	D&C	D&C dc121_130 1:51	וְעֻכְּבוּ	and were hindered	עכב	heuristic	(עִכֵּב) to hinder, restrain
2	D&C	D&C dc121_130 1:70	מֵהַמְּנָיוֹת	of the stock	מנה	lamed-yod (yod hides the he)	(מָנָה) to count, number, appoint; (מִנְיָן)
2	D&C	D&C dc121_130 1:7	תַּתִּירוּ	you loose	תור	hollow (mater)	(תּוּר) to spy out, search
2	D&C	D&C dc121_130 1:9	יוּפַר	be annulled,	פרה	lamed-yod / III-he	to bear fruit, be fruitful; fruit
2	D&C	D&C dc131_138 1:4	הַדָּתִיּוֹת	religious	יהד	heuristic	(יְהוּדִי) Jew; (יְהוּדָה) Judah
2	D&C	D&C dc131_138 1:4	לְהַעֲנִישׁ	should punish	ענש	strong	punishment
2	D&C/PGP	D&C dc131_138 1:7	הַדָּתִית	their religious belief;	יהד	heuristic	(יְהוּדִי) Jew; (יְהוּדָה) Judah
2	D&C	D&C dc131_138 1:6	הַפְּסוּקִים	the verses		(no analysis)	
2	D&C	D&C dc21_30 1:11	וּבֵינוֹ	and him	בינ	strong	understand
2	D&C	D&C dc21_30 1:2	כְּתַרְנְגֹלֶת	even as a hen		(no analysis)	
2	D&C	D&C dc41_50 1:3	וְנוֹעַדְתֶּם	and are agreed	יעד	heuristic	(יָעַד) to appoint; (יִעוּד) foreordination
2	D&C	D&C dc41_50 1:17	וְהַנִּשְׁלָח	and sent forth	שלח	strong	(שָׁלַח) to send, stretch out; (שָׁלִיחַ) ap
2	D&C	D&C dc51_60 1:18	לְהַצָּלָתָם	unto their deliverance	נצל	heuristic	to deliver, rescue, save
2	D&C	D&C dc51_60 1:9	קׇדְשִׁי׃	of my holiness	קדש	strong	(קָדוֹשׁ) holy; to sanctify; (מִקְדָּשׁ) tem
2	D&C	D&C dc61_70 1:11	כּוֹעֵס	is angry	כעס	strong	anger, vexation
2	D&C	D&C dc61_70 1:17	הַבּוֹעֵר	that burns	יער	I-yod (vav for yod)	forest
2	D&C	D&C dc71_80 1:74	קִבְּלוּהָ׃	received it	קבל	heuristic	(קִבֵּל) to receive, accept
2	D&C	D&C dc81_90 1:5	לְהִשָּׁלַח	to be sent forth	שלח	strong	(שָׁלַח) to send, stretch out; (שָׁלִיחַ) ap
2	D&C	D&C dc91_100 1:7	תַּכְרִיזוּ	you shall declare	כרז	heuristic	(הִכְרִיז) to proclaim
2	D&C	D&C dc_intro 1:11	אֲמִתִּיִּים	real life	אמנ	heuristic	trust
2	D&C/PGP	D&C dc_intro 1:11	אֱלֹהִית	divine	להה	lamed-yod (yod hides the he)	be rabid
2	D&C	D&C dc_intro 1:11	קִבְּלוּהָ	[received]	קבל	heuristic	(קִבֵּל) to receive, accept
2	D&C	D&C dc_intro 1:15	בְּהַשְׁרָאַת	by inspiration of	שרא	strong	free
2	D&C	D&C od 1:1	הַמְּרֻבִּים	plural	מרה	heuristic	rebel
2	D&C	D&C od 1:1	לְהַעֲנִיק	conferring	ענק	strong	(עֲנָק) Anak, the Anakim; necklace
2	D&C	D&C od 1:3	נ׳	N.		(no analysis)	
2	PGP	PGP js_history 1:5	הִצְטָרְפוּ	united themselves		(no analysis)	
2	PGP	PGP js_history 1:6	הַמִּתְגַּיְּרִים	of the converts		(no analysis)	
2	PGP	PGP js_history 1:8	הַהִתְרַגְּשׁוּת	of great excitement	רגש	strong	(רֶגֶשׁ) feeling; (הִרְגִּישׁ) to feel
2	PGP	PGP js_history 1:8	לְהִרְהוּר	to serious reflection	הרהר	heuristic	mental conception
2	PGP	PGP js_history 1:8	צוֹדֵק	right	צדק	strong	righteous, just; righteousness, justice
2	PGP	PGP js_history 1:17	בָּאֲוִיר	in the air.	אור	hollow (mater)	light
2	PGP	PGP js_history 1:18	אֵיזוֹ	which of		(no analysis)	
2	PGP	PGP js_history 1:21	הִזְדַּמְּנוּת	opportunity		(no analysis)	
2	PGP	PGP js_history 1:27	לְהַצְהִיר	to affirm	צהר	strong	press out oil
2	PGP	PGP js_history 1:36	לְצַטֵּט	quoting	צטט	strong	
2	PGP	PGP js_history 1:36	ג	3		(no analysis)	
2	PGP	PGP js_history 1:44	שֶׁסִּפֵּר	had been told to me	ספר	strong	(סִפֵּר) to tell, recount; (סָפַר) to count;
2	PGP	PGP js_history 1:55	נֶאֱלַצְנוּ	we were under the necessity	אלצ	strong	press
2	PGP	PGP js_history 1:56	צֶ'נָנְגוֹ	county,		(no analysis)	
2	PGP	PGP js_history 1:57	מוּעֲסָק	employed		(no analysis)	
2	PGP	PGP js_history 1:57	1827	one thousand eight hundred and twenty-seven,		(no analysis)	
2	PGP	PGP js_matthew 1:46	בְּאֵיזוֹ	at what		(no analysis)	
2	PGP	PGP pgp_intro 1:9	תרס״ב	1902		(no analysis)	
2	PGP	PGP pgp_intro 1:12	שִׁנּוּיִים	changes	יומ	hollow	day
2	PGP	PGP pgp_intro 1:17	1842	1842,		(no analysis)	
1	BOM	BOM 1nephi 2:18	וָאֶתְעַצֵּב	and being grieved	עצב	heuristic	to shape, carve; to grieve, pain; idol
1	BOM	BOM 1nephi 2:19	דְּרַשְׁתָּנִי	you have sought Me	דרש	strong	(דָּרַשׁ) to seek, search, inquire; preach
1	BOM	BOM 1nephi 3:14	וַנִּתְעַצֵּב	and we were sorrowful	עצב	heuristic	to shape, carve; to grieve, pain; idol
1	BOM	BOM 1nephi 4:5	וָאֶתְגַּנֵּב	I crept	גנב	heuristic	steal
1	BOM	BOM 1nephi 4:10	וַיִּכְפֵּנִי	and I was constrained	כפנ	strong	bend
1	BOM	BOM 1nephi 4:10	וָאֶסּוֹג	and I shrunk	סוג	hollow (mater)	(נָסוֹג) to turn back, retreat
1	BOM	BOM 1nephi 4:19	אֶת־שִׁרְיוֹנוֹ	his armor	שרה	lamed-yod (vav form)	(שָׂרָה) Sarah
1	BOM	BOM 1nephi 5:2	וְגַם־הֵלִינָה	and she also had complained	גממ	geminate	
1	BOM	BOM 1nephi 5:21	וַנְּחַפְּשֵׂם	and searched them	חפש	heuristic	(חׇפְשִׁי) free, at liberty; (חִפֵּשׂ) to se
1	BOM	BOM 1nephi 7:11	וּבְהַשִּׂיגֵנוּ	and in our obtaining	שוג	hollow (mater)	retreat
1	BOM	BOM 1nephi 7:16	יַנִּיחוּנִי	they might leave me	נחה	lamed-yod (vav form)	to lead, guide
1	BOM	BOM 1nephi 8:15	וָאֶרְמֹז	and I beckoned	רמז	strong	
1	BOM	BOM 1nephi 8:19	וַיּוֹבִיל	and led	יבל	I-yod (vav for yod)	(יָבַל) to lead, carry; (הוֹבִיל) to lead; (
1	BOM	BOM 1nephi 8:20	וְגַם־הוֹבִיל	and it also led	גממ	geminate	
1	BOM	BOM 1nephi 8:25	כְּמִתְבּוֹשְׁשִׁים	as if they were ashamed		(no analysis)	
1	BOM	BOM 1nephi 10:1	בְּהָחֵלִי	in proceeding	חלה	lamed-yod (yod hides the he)	to be sick, weak; to entreat
1	BOM	BOM 1nephi 10:12	עֲנָפָיו	branches	ענפ	strong	(עָנָף) branch
1	BOM	BOM 1nephi 16:10	מְחוֹגִים	spindles	חגג	heuristic	(חָגַג) to celebrate; (חַג) feast
1	BOM	BOM 1nephi 16:23	וָאֶתְחַמֵּשׁ	and I did arm myself	חמש	heuristic	(חָמֵשׁ) five; (חֲמִשִּׁים) fifty
1	BOM	BOM 1nephi 16:25	וַיִּוָּסֵר	and he was chastened	יסר	I-yod (vav for yod)	(יִסַּר) to chasten; (יִסּוּרִים) affliction
1	BOM	BOM 1nephi 16:28	אֶת־הַמְּחוֹגִים	the pointers		(no analysis)	
1	BOM	BOM 1nephi 16:29	הֲבָנָה	understanding	הבנ	strong	ebony
1	BOM	BOM 1nephi 16:32	צָדְתִּי	I had slain	צוד	hollow	to hunt; stronghold, fortress
1	BOM	BOM 1nephi 16:35	הִתְאַבַּלְנָה	did mourn	אבל	strong	(אָבַל) to mourn; (אֵבֶל) mourning
1	BOM	BOM 1nephi 16:35	עׇנְיָן	their afflictions	עננ	strong	act covertly
1	BOM	BOM 1nephi 16:35	וַתִּתְלוֹנֵנָּה	and they did murmur	תלה	heuristic	(תָּלָה) to hang
1	BOM	BOM 1nephi 16:36	וַתַּחְפֹּצְנָה	and they were desirous	חפצ	strong	desire
1	BOM	BOM 1nephi 17:4	וַנִּתְהַלֵּךְ	and we did sojourn	תהה	heuristic	
1	BOM	BOM 1nephi 17:11	לְהַצִּית	to kindle	ציה	lamed-yod / III-he	(צִיָּה) dry land, drought
1	BOM	BOM 1nephi 17:12	בְּמַסָּעֵינוּ	in our journeyings	סעה	lamed-yod (yod hides the he)	rush
1	BOM	BOM 1nephi 17:13	בְּשׇׁמְרְכֶם	when you keep	שמר	heuristic	(שָׁמַר) to keep, guard, observe; take heed;
1	BOM	BOM 1nephi 17:15	וְלִשְׁקִידָה	and unto diligence	שקד	strong	(שָׁקַד) to watch; (שָׁקֵד) almond
1	BOM	BOM 1nephi 17:20	וַתִּסְבֹּלְנָה	and suffered	סבל	strong	(סָבַל) to bear, suffer; (סַבְלָן) patient
1	BOM	BOM 1nephi 17:22	וְנִתְאוֹנְנוּ	and complained	תאנ	strong	naughtiness
1	BOM	BOM 1nephi 17:43	שָׁמְדָם	of their destruction	דמה	lamed-yod / III-he	was like
1	BOM	BOM 1nephi 17:45	אֲטַמְתֶּם	you stopped	אטמ	heuristic	close
1	BOM	BOM 1nephi 17:51	לְהוֹרוֹתֵנִי	instruct me	רוה	lamed-yod / III-he	slake
1	BOM	BOM 1nephi 17:53	אַרְעִישֵׁם	I will shake them	רעש	heuristic	earthquakes
1	BOM	BOM 1nephi 18:9	בְּאֵיזֶה	by what	נזה	I-nun	(הִזָּה) to sprinkle, spatter
1	BOM	BOM 1nephi 18:12	לְהִתְנוֹעֵעַ	move		(no analysis)	
1	BOM	BOM 1nephi 18:14	לְהִדָּחֵנוּ	which we had been driven	נדח	I-nun (dagesh)	to be driven away, banished; outcast
1	BOM	BOM 1nephi 18:15	הִדָּחֲנוּ	we had been driven	נדח	I-nun (dagesh)	to be driven away, banished; outcast
1	BOM	BOM 1nephi 18:15	כְּאֵבָם	their soreness	במה	lamed-yod / III-he	elevation
1	BOM	BOM 1nephi 18:21	הַתִּירָם	they had loosed	רומ	hollow	be high
1	BOM	BOM 1nephi 19:1	וְגַם־מַסְעֵינוּ	and also our journeyings	גממ	geminate	
1	BOM	BOM 1nephi 19:2	יְצַוֵּנִי	I should be commanded	צוה	lamed-yod / III-he	to command
1	BOM	BOM 1nephi 19:4	הַמַּרְבִּים	which give greater	מרה	heuristic	rebel
1	BOM	BOM 1nephi 19:6	אֶצְטַדָּק	I would excuse myself		(no analysis)	
1	BOM	BOM 1nephi 19:20	לְהַרְאוֹתֵנִי	to shew unto me	ראה	lamed-yod (vav form)	(רָאָה) to see, look; (הֶרְאָה) to show; (מַ
1	BOM	BOM 1nephi 19:23	הִמְשַׁלְתִּי	I likened	משל	strong	(מָשַׁל) to rule; (מֶמְשָׁלָה) dominion, gov
